epoch,train_loss,val_loss,val_mae,val_mae_real,lr,elapsed_s,mae_zpve,mae_Cv,mae_gap,mae_G,mae_HOMO,mae_U,mae_alpha,mae_U0,mae_H,mae_LUMO,mae_mu,mae_R2,r2_zpve,r2_Cv,r2_gap,r2_G,r2_HOMO,r2_U,r2_alpha,r2_U0,r2_H,r2_LUMO,r2_mu,r2_R2
1,0.2249976275044804,0.13166796366574762,0.32760000228881836,26.695404052734375,0.00010399999999999949,108.1,0.31519049406051636,0.5415964722633362,0.23704621195793152,0.19008246064186096,0.32785603404045105,0.1984402984380722,0.46162721514701843,0.20176728069782257,0.1947755366563797,0.24120768904685974,0.4209297299385071,0.6006806492805481,0.8423264026641846,0.5513519048690796,0.8679686784744263,0.9157810807228088,0.785038948059082,0.9116405248641968,0.6302905082702637,0.9136484861373901,0.9148585200309753,0.8712331056594849,0.6578477621078491,0.3711087107658386
2,0.12823109322172604,0.10301271049670749,0.2787775695323944,23.844932556152344,0.00020300000000000146,152.2,0.2433990240097046,0.4226415753364563,0.18491846323013306,0.1769404113292694,0.27266767621040344,0.18566498160362244,0.3948240280151367,0.17709995806217194,0.18393394351005554,0.19132962822914124,0.38270652294158936,0.5292043089866638,0.8830167651176453,0.6672244071960449,0.9311434030532837,0.9391125440597534,0.8595455884933472,0.9350621700286865,0.6986271142959595,0.9406214952468872,0.9345998764038086,0.9276555180549622,0.7087695598602295,0.5048043727874756
3,0.10426939569217954,0.08086769952917697,0.24107949435710907,19.783620834350586,0.00030200000000000246,195.8,0.21160686016082764,0.3508888781070709,0.16421036422252655,0.14303700625896454,0.2639698386192322,0.14408548176288605,0.3338627517223358,0.14483679831027985,0.14418086409568787,0.18238481879234314,0.36270591616630554,0.447184294462204,0.9187809824943542,0.7789098024368286,0.9482197165489197,0.9597792029380798,0.8751730918884277,0.9596884250640869,0.78632652759552,0.9595134854316711,0.9595324397087097,0.9359132051467896,0.7389254570007324,0.6553516983985901
4,0.08126729459235622,0.06470359904368739,0.20011210441589355,15.780414581298828,0.0004010000000000009,238.4,0.1661970466375351,0.2776811122894287,0.14551909267902374,0.11523240804672241,0.22612237930297852,0.11693435907363892,0.25486552715301514,0.11477804183959961,0.11594896018505096,0.14850710332393646,0.36400216817855835,0.3555569350719452,0.9454444646835327,0.8478782176971436,0.9577621221542358,0.9727930426597595,0.9034552574157715,0.9722999334335327,0.8691170811653137,0.9728013873100281,0.9726582765579224,0.956072986125946,0.7467731833457947,0.7428271770477295
5,0.0669759792233414,0.06425367506309118,0.2155797928571701,17.080808639526367,0.0004999999999999994,280.9,0.21797126531600952,0.3047000467777252,0.17177963256835938,0.127459317445755,0.22814173996448517,0.12510019540786743,0.2837955057621002,0.12582892179489136,0.125743106007576,0.16926564276218414,0.32335108518600464,0.38382112979888916,0.9145952463150024,0.8358153104782104,0.9488555192947388,0.9695369601249695,0.9045301675796509,0.9702516794204712,0.8531116843223572,0.969600260257721,0.9696832299232483,0.9483337998390198,0.7932412624359131,0.7138073444366455
6,0.05845271671324422,0.051390223627878845,0.1782291680574417,13.740801811218262,0.0004999999999999994,325.8,0.17191599309444427,0.263833224773407,0.13793499767780304,0.08745739609003067,0.21992522478103638,0.08420753479003906,0.22286781668663025,0.08599031716585159,0.08549422770738602,0.14043277502059937,0.30806809663772583,0.3306223452091217,0.9461413621902466,0.8728634715080261,0.9620810747146606,0.9832634329795837,0.9070346355438232,0.9839349985122681,0.9042840003967285,0.9836471676826477,0.9836368560791016,0.9608202576637268,0.8103694915771484,0.7868337631225586
7,0.05216115931409064,0.05102101523816636,0.1776188164949417,14.287138938903809,0.0004999999999999994,373.2,0.1760239154100418,0.2650359272956848,0.13200643658638,0.08614293485879898,0.20823855698108673,0.08608491718769073,0.21202506124973297,0.08722527325153351,0.08656630665063858,0.1351068615913391,0.30876266956329346,0.34820687770843506,0.9462210536003113,0.8725072145462036,0.9654040336608887,0.9842625856399536,0.9174112677574158,0.9840279221534729,0.910494863986969,0.9838129878044128,0.9839463829994202,0.9643439054489136,0.8103651404380798,0.7727198600769043
8,0.04791568485755519,0.039628744248396235,0.14197422564029694,10.263558387756348,0.0004999999999999994,416.2,0.12424146384000778,0.18407411873340607,0.12359746545553207,0.05903379246592522,0.1925855129957199,0.05837484821677208,0.15912789106369019,0.05736732855439186,0.05775436386466026,0.13077311217784882,0.30154934525489807,0.25521162152290344,0.9726684093475342,0.9356675744056702,0.9692420959472656,0.9909792542457581,0.9291130900382996,0.9910669922828674,0.9467924237251282,0.9910193681716919,0.991061806678772,0.9664849638938904,0.8172480463981628,0.8685244917869568
9,0.045171338968177516,0.041384537608798164,0.15354834496974945,11.366024017333984,0.0004999999999999994,458.6,0.13149377703666687,0.22538478672504425,0.13013716042041779,0.06816305220127106,0.19864806532859802,0.06988538801670074,0.17499610781669617,0.07158426195383072,0.06794369965791702,0.13551251590251923,0.2930312156677246,0.27580025792121887,0.9703008532524109,0.9147845506668091,0.9680463075637817,0.9890592098236084,0.9268222451210022,0.9888947010040283,0.933500349521637,0.9885138273239136,0.9892852902412415,0.9656111001968384,0.824720025062561,0.8534563183784485
10,0.04275402259224924,0.038269767466819066,0.1393492966890335,10.709808349609375,0.0004999999999999994,500.6,0.10825788229703903,0.1870172619819641,0.12334821373224258,0.059710413217544556,0.19020846486091614,0.057068657130002975,0.14746412634849548,0.058765728026628494,0.05689612030982971,0.12498380243778229,0.2878933846950531,0.27057749032974243,0.9757370352745056,0.9320001602172852,0.969515323638916,0.9903793931007385,0.930403470993042,0.9904960989952087,0.9507051110267639,0.9900287389755249,0.9907662272453308,0.9683861136436462,0.8327943086624146,0.8524907827377319
